country,region,population
China,China,1402112000
India,South Asia,1380004385
Usa,North America,329484123
Indonesia,Southeast Asia,273523621
Pakistan,West Asia,220892331
Brazil,South America,212559409
Nigeria,Africa,206139587
Bangladesh,South Asia,164689383
Russia,West Asia,144104080
Mexico,North America,128932753
Japan,Japan Korea,125836021
Ethiopia,Africa,114963583
Philippines,Southeast Asia,109581085
Egypt,Africa,102334403
Vietnam,Southeast Asia,97338583
Turkey,West Asia,84339067
Iran,West Asia,83992953
Germany,Europe,83240525
Thailand,Southeast Asia,69799978
France,Europe,67391582
United Kingdom,Europe,67215293
Tanzania,Africa,59734213
Italy,Europe,59554023
South Africa,Africa,59308690
Myanmar,Southeast Asia,54409794
Kenya,Africa,53771300
South Korea,Japan Korea,51780579
Colombia,South America,50882884
Spain,Europe,47351567
Uganda,Africa,45741000
Argentina,South America,45376763
Algeria,Africa,44700000
Ukraine,Europe,44134693
Sudan,Africa,43849269
Iraq,West Asia,40222503
Afghanistan,West Asia,40218234
Canada,North America,38005238
Poland,Europe,37950802
Morocco,Africa,36910558
Saudi Arabia,West Asia,34813867
Uzbekistan,West Asia,34232050
Peru,South America,32971846
Malaysia,Southeast Asia,32365998
Mozambique,Africa,31255435
Ghana,Africa,31072945
Nepal,South Asia,29136808
Venezuela,South America,28435943
Madagascar,Africa,27691019
Cameroon,Africa,26545864
Cote D Ivoire,Africa,26378275
Australia,Oceania,25687041
Niger,Africa,24206636
Taiwan,China,23503349
Sri Lanka,South Asia,21919000
Burkina Faso,Africa,20903278
Mali,Africa,20250834
Romania,Europe,19286123
Chile,South America,19116209
Kazakhstan,West Asia,18754440
Zambia,Africa,18383956
Ecuador,South America,17643060
Syria,West Asia,17500657
Guatemala,North America,16858333
Senegal,Africa,16743930
Cambodia,Southeast Asia,16718971
Netherlands,Europe,16655799
Somalia,Africa,15893219
Rwanda,Africa,12952209
Tunisia,Africa,11818618
Bolivia,South America,11673029
Belgium,Europe,11555997
Haiti,North America,11402533
Cuba,North America,11326616
Dominican Republic,North America,10847904
Greece,Europe,10715549
Czech Republic,Europe,10698896
Sweden,Europe,10353442
Portugal,Europe,10305564
Jordan,West Asia,10203140
Azerbaijan,West Asia,10110116
Honduras,North America,9904608
United Arab Emirates,West Asia,9890400
Hungary,Europe,9749763
Tajikistan,West Asia,9537642
Belarus,Europe,9398861
Israel,West Asia,9216900
Papua New Guinea,Oceania,8947027
Austria,Europe,8917205
Switzerland,Europe,8654622
Togo,Africa,8278737
Sierra Leone,Africa,7976985
Hong Kong,China,7500700
Laos,Southeast Asia,7275556
Paraguay,South America,7132530
Bulgaria,Europe,6927288
Serbia,Europe,6908224
Lebanon,West Asia,6825442
Nicaragua,North America,6624554
Kyrgyzstan,West Asia,6591600
El Salvador,North America,6486201
Turkmenistan,West Asia,6031187
Denmark,Europe,5831404
Singapore,Southeast Asia,5685807
Congo,Africa,5657000
Finland,Europe,5530719
Slovakia,Europe,5458827
Norway,Europe,5379475
Oman,West Asia,5106622
Costa Rica,North America,5094114
New Zealand,Oceania,5084300
Ireland,Europe,4994724
Central African Republic,Africa,4829764
Palestine,West Asia,4803269
Mauritania,Africa,4649660
Panama,North America,4314768
Kuwait,West Asia,4270563
Croatia,Europe,4047200
Georgia Country,West Asia,3714000
Uruguay,South America,3473727
Bosnia Herzegovina,Europe,3280815
Mongolia,West Asia,3278292
Puerto Rico,North America,3194034
Armenia,West Asia,2963234
Jamaica,North America,2961161
Qatar,West Asia,2881060
Albania,Europe,2837743
Lithuania,Europe,2794700
Moldova,Europe,2617820
Gambia,Africa,2416664
Slovenia,Europe,2100126
Macedonia,Europe,2077132
Latvia,Europe,1901548
Kosovo,Europe,1775378
Bahrain,West Asia,1701583
Trinidad And Tobago,North America,1399491
Estonia,Europe,1331057
East Timor,Southeast Asia,1318442
Mauritius,Africa,1265740
Cyprus,West Asia,1207361
Djibouti,Africa,988002
Fiji,Oceania,896444
Guyana,South America,786559
Bhutan,South Asia,771612
Solomon Islands,Oceania,686878
Luxembourg,Europe,632275
Montenegro,Europe,621718
Suriname,South America,586634
Maldives,South Asia,540542
Malta,Europe,525285
Brunei,Southeast Asia,437483
Guadeloupe,North America,400132
Belize,North America,397621
Bahamas,North America,393248
Martinique,North America,378243
Iceland,Europe,366425
Vanuatu,Oceania,307150
Barbados,North America,287371
French Polynesia,Oceania,280904
New Caledonia,Oceania,271960
French Guiana,South America,254541
Mayotte,Africa,226915
Samoa,Oceania,198410
Saint Lucia,North America,183629
Guam,Oceania,168783
Kiribati,Oceania,119446
Micronesia,Oceania,115021
Grenada,North America,112519
Saint Vincent And The Grenadines,North America,110947
Aruba,South America,106766
Tonga,Oceania,105697
Seychelles,Africa,98462
Dominica,North America,71991
Cayman Islands,North America,65720
Bermuda,North America,63903
Northern Mariana Islands,Oceania,57557
American Samoa,Oceania,55197
Saint Kitts,North America,53192
Monaco,Europe,39244
Turks And Caicos,North America,38718
Saint Martin,North America,38659
British Virgin Islands,North America,30237
Cook Islands,Oceania,18100
Palau,Oceania,18092
Anguilla,North America,13452
Tuvalu,Oceania,11792
Wallis And Futuna,Oceania,11750
Nauru,Oceania,10834
Montserrat,North America,4922
DR Congo,Africa,108407721
Angola,Africa,32866268
Yemen,Asia,29825968
North Korea,Japan Korea,25778815
Malawi,Africa,19129955
Chad,Africa,16425859
Zimbabwe,Africa,14862927
Guinea,Africa,13132792
Benin,Africa,12123198
Burundi,Africa,11890781
South Sudan,Africa,11193729
Libya,Africa,6871287
Eritrea,Africa,5352000
Liberia,Africa,5057677
Namibia,Africa,2540916
Botswana,Africa,2351625
Gabon,Africa,2225728
Lesotho,Africa,2142252
Guinea-Bissau,Africa,1967998
Equatorial Guinea,Africa,1402985
Eswatini,Africa,1160164
Comoros,Africa,869595
Réunion,Africa,840974
Macau,China,649342
Cape Verde,Africa,555988
Western Sahara,Africa,510713
São Tomé and Príncipe,Africa,219161
Curaçao,North America,155014
United States Virgin Islands,North America,106290
Jersey,Europe,100800
Antigua and Barbuda,North America,97928
Isle of Man,Europe,85032
Andorra,Europe,77265
Guernsey,Europe,62999
Marshall Islands,Oceania,59194
Greenland,North America,56367
Saint Helena,Africa,53192
Faroe Islands,Europe,48865
Sint Maarten,North America,40812
Liechtenstein,Europe,38137
San Marino,Europe,33938
Gibraltar,Europe,33691
Åland Islands,Europe,29458
Caribbean Netherlands,North America,25987
Saint Pierre and Miquelon,North America,6069
Saint Barthélemy,North America,4255
British Indian Ocean Territory,Africa,3000
Falkland Islands,South America,2563
Svalbard and Jan Mayen,Europe,2562
Norfolk Island,Oceania,2302
Christmas Island,Oceania,2072
Niue,Oceania,1470
Tokelau,Oceania,1411
Cocos (Keeling) Islands,Oceania,544
Vatican City,Europe,451
United States Minor Outlying Islands,North America,300
Pitcairn Islands,Oceania,56
